Company;Valuation ($B);Date Joined;Country;City;Industry;Investors
Cohesity;US$ 3,70;6/11/18;United States;San Jose;Enterprise Tech;SoftBank Group, Sequoia Capital, Wing Venture Capital
Abba Platforms;US$ 3,70;10/10/24;United States;New York;Financial Services;Run4 Capital
Dataiku;US$ 3,70;12/4/19;United States;New York;Enterprise Tech;Alven Capital, FirstMark Capital, capitalG
GOAT;US$ 3,70;9/23/20;United States;Culver City;Consumer & Retail;Upfront Ventures, Webb Investment Network, D1 Capital Partners
Noom;US$ 3,70;5/24/21;United States;New York;Healthcare & Life Sciences;Qualcomm Ventures, Samsung Ventures, Silver Lake
Papaya Global;US$ 3,70;3/4/21;United States;New York;Enterprise Tech;Bessemer Venture Partners, Insight Partners, New Era Ventures
Abogen;US$ 3,70;11/29/21;China;Suzhou;Healthcare & Life Sciences;Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners
Harness;US$ 3,70;1/14/21;United States;San Francisco;Enterprise Tech;Menlo Ventures, Alkeon Capital Management, Citi Ventures
o9 Solutions;US$ 3,70;4/28/20;United States;Dallas;Enterprise Tech;KKR
Relativity;US$ 3,60;3/18/21;United States;Chicago;Enterprise Tech;Silver Lake, ICONIQ Capital
Whoop;US$ 3,60;10/28/20;United States;Boston;Healthcare & Life Sciences;NextView Ventures, Promus Ventures, Two Sigma Ventures
Course Hero;US$ 3,60;2/12/20;United States;Redwood City;Consumer & Retail;NewView Capital, Maveron, Ridge Ventures
SpotOn;US$ 3,60;5/26/21;United States;San Francisco;Financial Services;Dragoneer Investment Group, DST Global, Franklin Templeton
Otto Bock HealthCare;US$ 3,52;6/24/17;Germany;Duderstadt;Healthcare & Life Sciences;EQT Partners
OpenEvidence;US$ 3,50;2/19/25;United States;Cambridge;Healthcare & Life Sciences;Sequoia Capital
Chainguard;US$ 3,50;7/25/24;United States;Kirkland;Enterprise Tech;Amplify Partners, MANTIS Venture Capital, Sequoia Capital
Cribl;US$ 3,50;8/25/21;United States;San Francisco;Enterprise Tech;Institutional Venture Partners, CRV, Sequoia Capital
Vultr;US$ 3,50;12/18/24;United States;San Francisco;West Palm Beach;AMD Ventures
Indigo Ag;US$ 3,50;9/26/17;United States;Boston;Industrials;Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.
HyalRoute;US$ 3,50;5/26/20;Singapore;;Industrials;Kuang-Chi
Rec Room;US$ 3,50;3/23/21;United States;Seattle;Media & Entertainment;First Round Capital, Sequoia Capital, Index Ventures
Mirakl;US$ 3,50;9/22/20;France;Paris;Consumer & Retail;Elaia Partners, 83North, Felix Capital
Tekion;US$ 4,00;10/21/20;United States;San Ramon;Industrials;Airbus Ventures, Index Ventures, Advent International
GoStudent;US$ 3,50;6/22/21;Austria;Vienna;Consumer & Retail;DN Capital, Left Lane Capital, Coatue Management
Highspot;US$ 3,50;2/22/21;United States;Seattle;Enterprise Tech;Madrona Venture Group, Shasta Ventures, Salesforce Ventures
Handshake;US$ 3,50;5/12/21;United States;San Francisco;Enterprise Tech;Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures
ChargeBee Technologies;US$ 3,50;4/20/21;United States;San Francisco;Financial Services;Insight Partners, Tiger Global Management, Accel
Unacademy;US$ 3,44;9/2/20;India;Bengaluru;Consumer & Retail;Blume Ventures, Nexus Venture Partners, Sequoia Capital India
MoonPay;US$ 3,40;11/22/21;United States;Miami;Financial Services;New Enterprise Associates, Coatue Management, Tiger Global Management
Upstox;US$ 3,40;11/29/21;India;Mumbai;Financial Services;Tiger Global Management, Kalaari Capital
Improbable;US$ 3,36;5/11/17;United Kingdom;London;Media & Entertainment;Andreessen Horowitz, SoftBank Group, Temasek Holdings
Youxia Motors;US$ 3,35;4/2/18;China;Shanghai;Industrials;China Environmental Protection Industry, China Fortune Ocean
Starburst;US$ 3,35;1/6/21;United States;Boston;Enterprise Tech;Index Ventures, Coatue Management, Andreessen Horowitz
Moonshot AI;US$ 3,30;2/19/24;China;Beijing;Consumer & Retail;HongShan, Jinfu Investment, ZhenFund
Together AI;US$ 3,30;3/13/24;United States;San Francisco;Enterprise Tech;Definition Capital, Long Journey Ventures, Lux Capital
Sila;US$ 3,30;4/16/19;United States;Alameda;Industrials;Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners
Tabby;US$ 3,30;11/1/23;United Arab Emirates;Dubai;Financial Services;Arbor Ventures, STV, Global Founders Capital
Komodo Health;US$ 3,30;5/22/20;United States;San Francisco;Healthcare & Life Sciences;Andreessen Horowitz, IA Ventures, Felicis Ventures
Kurly;US$ 3,30;7/9/21;South Korea;Seoul;Consumer & Retail;Sequoia Capital China, DST Global, DST Global
Cars24;US$ 3,30;11/24/20;India;Gurgaon;Industrials;Moore Strategic Ventures, DST Global, Sequoia Capital India
Spring Health;US$ 3,30;9/16/21;United States;New York;Healthcare & Life Sciences;Rethink Impact, Work-Bench, RRE Ventures
Judi Health;US$ 3,25;3/21/24;United States;New Jersey;Healthcare & Life Sciences;General Catalyst, B Capital
BlockDaemon;US$ 3,25;9/21/21;United States;Los Angeles;Financial Services;BOLDstart Ventures, Lerer Hippeau, Kenetic Capital
Vercel;US$ 3,25;6/23/21;United States;San Francisco;Enterprise Tech;CRV, Accel, Google Ventures
Dadi Cinema;US$ 3,24;5/11/16;China;Shenzhen;Media & Entertainment;Alibaba Pictures Group
Aiven;US$ 3,21;10/18/21;Finland;Helsinki;Enterprise Tech;Institutional Venture Partners, Atomico, Earlybird Venture Capital
Thumbtack;US$ 3,20;9/29/15;United States;San Francisco;Consumer & Retail;Tiger Global, Sequoia Capital, Google Capital
Cedar;US$ 3,20;3/9/21;United States;New York;Healthcare & Life Sciences;Thrive Capital, Founders Fund, Cocnord Health Partners
Eruditus Executive Education;US$ 3,10;8/12/21;India;Mumbai;Enterprise Tech;Sequoia Capital India, Softbank, Bertelsmann India Investments
Replit;US$ 3,00;4/25/23;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Bloomberg Beta, Reach Capital
Runway;US$ 3,00;5/4/23;United States;New York;Media & Entertainment;Lux Capital, Compound, Amplify Partners
Blockstream;US$ 3,20;8/24/21;Canada;Vancouver;Financial Services;AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital
Decart;US$ 3,21;8/7/25;United States;San Francisco;Enterprise Tech;Sequoia Capital, Zeev Ventures
Addepar;US$ 3,25;6/15/21;United States;Mountain View;Financial Services;8VC, D1 Capital Partners, Sway Ventures
Innovaccer;US$ 3,45;2/19/21;United States;San Francisco;Healthcare & Life Sciences;M12, WestBridge Capital, Lightspeed Venture Partners
Ironclad;US$ 3,20;1/18/22;United States;Sacramento;Enterprise Tech;Accel, Sequoia Capital, Y Combinator
Eikon Therapeutics;US$ 1,85;1/6/22;United States;Hayward;Healthcare & Life Sciences;The Column Group, Foresite Capital, Foresite Capital
Distyl AI;US$ 1,80;9/22/25;United States;San Francisco;Enterprise Tech;Khosla Ventures
Retool;US$ 3,20;12/22/21;United States;San Francisco;Enterprise Tech;Sequoia Capital
Verkada;US$ 3,20;1/29/20;United States;San Mateo;Industrials;next47, First Round Capital, Sequoia Capital
HighRadius;US$ 3,10;1/7/20;United States;Houston;Financial Services;Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital
Nuvemshop;US$ 3,10;8/17/21;Brazil;Sao Paulo;Consumer & Retail;Kaszek Ventures, Qualcomm Ventures, Accel
Phantom;US$ 3,00;1/31/22;United States;San Francisco;Financial Services;Paradigm, Andreessen Horowitz, Jump Capital
LayerZero Labs;US$ 3,00;3/30/22;United States;New York;Enterprise Tech;Andreessen Horowitz, FTX Ventures, Tiger Global Management
Harvey;US$ 3,00;7/23/24;United States;San Francisco;Enterprise Tech;OpenAI Startup Fund, Kleiner Perkins, Sequoia Capital
Filevine;US$ 3,00;9/23/25;United States;Salt Lake City;Enterprise Tech;Accel, Album VC, Signal Peak Ventures
Poolside;US$ 3,00;10/2/24;France;Paris;Enterprise Tech;Felicis, Redpoint Ventures, HSBC Venture Capital
Crusoe;US$ 3,00;4/21/22;United States;Denver;Industrials;Bain Capital Ventures, Founders Fund, Winklevoss Capital
Clio;US$ 3,00;4/27/21;Canada;Burnaby;Enterprise Tech;OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures
Zhipu AI;US$ 3,00;9/20/23;China;Beijing;Enterprise Tech;Qiming Venture Partners, Legend Capital, Jiangmen Venture Capital
Nord Security;US$ 3,00;4/7/22;Lithuania;Vilnius;Enterprise Tech;General Catalyst, BaltCap, Novator Partners
Yixia;US$ 3,00;11/24/15;China;Beijing;Media & Entertainment;Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
Traveloka;US$ 3,00;1/1/17;Indonesia;Jakarta;Consumer & Retail;Global Founders Capital, East Ventures, Expedia Inc.
Monad Labs;US$ 3,00;4/9/24;United States;New York;Financial Services;HTX Ventures, Electric Capital, Coinbase Ventures
SouChe Holdings;US$ 3,00;11/1/17;China;Hangzhou;Industrials;Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund
BGL Group;US$ 3,00;11/24/17;United Kingdom;Peterborough;Insurance;CPP Investment Board
Circle;US$ 3,00;5/15/18;United States;Boston;Financial Services;General Catalyst, Digital Currency Group, Accel
Zuoyebang;US$ 3,00;7/18/18;China;Beijing;Consumer & Retail;Sequoia Capital China, Xiang He Capital, GGV Capital
FlixMobility;US$ 3,00;7/18/19;Germany;Munich;Industrials;Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic
Wildlife Studios;US$ 3,00;12/5/19;Brazil;Sao Paulo;Media & Entertainment;Benchmark, Bessemer Venture Partners
ApplyBoard;US$ 3,20;5/5/20;Canada;Kitchener;Consumer & Retail;Artiman Ventures, Plug and Play Ventures, Anthos Capital
Forter;US$ 3,00;11/19/20;United States;New York;Enterprise Tech;Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures
Calendly;US$ 3,00;1/26/21;United States;Atlanta;Enterprise Tech;ICONIQ Capital, OpenView Venture Partners
BlockFi;US$ 3,00;3/11/21;United States;Jersey City;Financial Services;ConsenSys Ventures, Valar Ventures, PUC
ActiveCampaign;US$ 3,00;4/21/21;United States;Chicago;Enterprise Tech;Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management
CMR Surgical;US$ 3,00;9/17/19;United Kingdom;Cambridge;Healthcare & Life Sciences;Cambridge Innovation Capital, LGT Capital Partners, Escala Capital
Lucid Software;US$ 3,00;6/29/21;United States;South Jordan;Enterprise Tech;Spectrum Equity, ICONIQ Capital, Grayhawk Capital
Age of Learning;US$ 3,00;5/3/16;United States;Glendale;Consumer & Retail;Iconiq Capital
Zetwerk;US$ 3,10;8/20/21;India;Bengaluru;Industrials;Peak XV Partners, Greenoaks, Kae Capital
Carbon Health;US$ 3,00;7/21/21;United States;San Francisco;Healthcare & Life Sciences;Brookfield Asset Management, Blackstone, Data Collective
Contentful;US$ 3,00;7/28/21;Germany;Berlin;Enterprise Tech;Balderton Capital, General Catalyst, Tiger Global Management
LaunchDarkly;US$ 3,00;8/10/21;United States;Oakland;Enterprise Tech;Uncork Capital, Threshold Ventures, Bloomberg Beta
Seismic;US$ 3,00;12/18/18;United States;San Diego;Enterprise Tech;Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners
Sky Mavis;US$ 3,00;10/4/21;Vietnam;Ho Chi Minh City;Media & Entertainment;Fabric Ventures, 500 Global, Standard Crypto
Outschool;US$ 3,00;4/14/21;United States;San Francisco;Consumer & Retail;Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital
TradingView;US$ 3,00;10/14/21;United States;Westerville;Financial Services;Tiger Global Management, Insight Partners, Jump Capital
Groww;US$ 3,00;4/7/21;India;Bengaluru;Financial Services;Tiger Global Management, Sequoia Capital India, Ribbit Capital
Podium;US$ 3,00;4/7/20;United States;Lehi;Consumer & Retail;Accel, Summit Partners, Google Ventures
Rokt;US$ 3,50;12/16/21;United States;New York;Consumer & Retail;Square Peg Capital, TDM Growth Partners, Tiger Global Management
Via;US$ 3,50;3/30/20;United States;New York;Industrials;83North, RiverPark Ventures, Pitango Venture Capital
Anchorage Digital;US$ 3,00;12/15/21;United States;San Francisco;Financial Services;Andreessen Horowitz, Blockchain Capital, Lux Capital
Inxeption;US$ 3,00;1/13/22;United States;San Francisco;Industrials;Coatue Management, BMO Capital, Schonfeld Strategic Advisors
Lattice;US$ 3,00;3/23/21;United States;San Francisco;Enterprise Tech;Khosla Ventures, Thrive Capital, Y Combinator
Flutterwave;US$ 3,00;3/9/21;United States;San Francisco;Financial Services;Green Visor Capital, CRE Venture Capital, Greycroft
Cross River Bank;US$ 3,00;2/11/22;United States;Fort Lee;Financial Services;Battery Ventures, Andreessen Horowitz, Ribbit Capital
Remote;US$ 3,00;7/13/21;United States;San Francisco;Enterprise Tech;Index Ventures, Sequoia Capital, General Catalyst
Sentry;US$ 3,00;2/18/21;United States;San Francisco;Enterprise Tech;New Enterprise Associates, Accel, Bond
TERMINUS Technology;US$ 2,96;10/25/18;China;Beijing;Industrials;China Everbright Limited, IDG Capital, iFLYTEK
Kraken;US$ 2,92;6/25/19;United States;San Francisco;Financial Services;Bnk To The Future, Trammell Ventures, SBI Investment
Workrise;US$ 2,90;9/30/19;United States;Austin;Industrials;Founders Fund, Quantum Energy Partners, Bedrock Capital
BharatPe;US$ 2,85;7/30/21;India;New Delhi;Financial Services;Insight Partners, Sequoia Capital India, BEENEXT
Gokin Solar;US$ 2,88;4/13/22;China;Zhuhai;Industrials;IDG Capital, Puluo Capital, Midea Capital
DriveWealth;US$ 2,85;8/20/21;United States;Chatham;Financial Services;Point72 Ventures, Route 66 Ventures, Accel
Meicai;US$ 2,80;6/22/16;China;Beijing;Consumer & Retail;Tiger Global Management, Blue Lake Capital, ZhenFund
Physical Intelligence;US$ 2,80;11/4/24;United States;San Francisco;Enterprise Tech;Khosla Ventures, Sequoia Capital, Lux Capital
Nutrabolt;US$ 2,79;12/8/22;United States;Austin;Consumer & Retail;MidOcean Partners
Baichuan AI;US$ 2,77;10/17/23;China;Haidian;Enterprise Tech;Shenzhen Capital Group, Shunwei Capital
Abridge;US$ 2,75;2/23/25;United States;Pittsburgh;Enterprise Tech;Institutional Venture Partners, Spark Capital, Lightspeed Venture Partners
Illumio;US$ 2,75;4/14/15;United States;Sunnyvale;Enterprise Tech;Data Collective, Formation 8, General Catalyst Partners
MasterClass;US$ 2,75;5/13/21;United States;San Francisco;Media & Entertainment;Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners
Transmit Security;US$ 2,74;6/22/21;Israel;Tel Aviv;Enterprise Tech;General Atlantic, Insight Partners, Vintage Investment Partners
Hozon Auto;US$ 3,95;2/22/22;China;Shanghai;Industrials;HD Capital, Qihoo 360 Technology, China Fortune Land Development
Tradeshift;US$ 2,70;5/30/18;United States;San Francisco;Enterprise Tech;Notion Capital, Scentan Ventures, Kite Ventures
TravelPerk;US$ 2,70;1/12/22;Spain;Barcelona;Enterprise Tech;LocalGlobe, Kinnevik, Felix Capital
Nextiva;US$ 2,70;9/14/21;United States;Scottsdale;Enterprise Tech;Goldman Sachs Asset Management
Tridge;US$ 2,70;8/24/22;South Korea;Seoul;Industrials;Forest Partners, Softbank Ventures Asia
Thought Machine;US$ 2,70;11/29/21;United Kingdom;London;Financial Services;British Patient Capital, SEB Venture Capital, IQ Capital
Starling Bank;US$ 2,69;3/8/21;United Kingdom;London;Financial Services;JTC Group, Qatar Investment Authority, Fidelity Investment
BackBase;US$ 2,66;6/9/22;Netherlands;Amsterdam;Financial Services;Motive Partners
ManoMano;US$ 2,60;7/5/21;France;Paris;Consumer & Retail;General Atlantic, Piton Capital, Partech Partners
Sourcegraph;US$ 2,62;7/13/21;United States;San Francisco;Enterprise Tech;Redpoint Ventures, Goldcrest Capital, Insight Partners
Pendo;US$ 2,60;10/17/19;United States;Raleigh;Enterprise Tech;Contour Venture Partners, Battery Ventures, Core Capital Partners
Plume;US$ 2,60;2/23/21;United States;Palo Alto;Industrials;Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures
Moglix;US$ 2,60;5/17/21;Singapore;;Industrials;Jungle Ventures, Accel, Venture Highway
Axonius;US$ 2,60;3/1/21;United States;New York;Enterprise Tech;Vertex Ventures Israel, Bessemer Venture Partners, Emerge
JumpCloud;US$ 2,62;9/13/21;United States;Louisville;Enterprise Tech;Foundry Group, General Atlantic, BlackRock
Unico;US$ 2,60;8/3/21;Brazil;Sao Paulo;Enterprise Tech;Big Bets, General Atlantic, SOFTBANK Latin America Ventures
Bending Spoons;US$ 2,55;2/15/24;Italy;Milan;Consumer & Retail;Durable Capital Partners, Adjacent, Creator Partners
JUST Egg;US$ 2,59;11/30/17;United States;San Francisco;Consumer & Retail;Khosla Ventures, Horizons Ventures, Founders Fund
Peregrine;US$ 2,50;3/4/25;United States;San Francisco;Enterprise Tech;Sequoia Capital, Fifth Down Capital
Lambda Labs;US$ 2,50;10/5/23;United States;San Francisco;Enterprise Tech;1517 Fund, Gradient Ventures, Bloomberg Beta
Jetti Resources;US$ 2,50;10/24/22;United States;Boulder;Industrials;BMW i Ventures, BHP Ventures
Claroty;US$ 2,50;6/17/21;United States;New York;Enterprise Tech;Bessemer Venture Partners, MoreVC, Team8
Vista Global;US$ 2,50;8/23/17;United Arab Emirates;Dubai;Industrials;Rhone Capital
BYTON;US$ 2,50;4/20/18;China;Nanjing;Industrials;FAW Group, Tencent Holdings, Tus Holdings
Side;US$ 2,50;3/22/21;United States;San Francisco;Financial Services;Coatue Managemeny, Trinity Ventures, Matrix Partners
Infra.Market;US$ 2,78;2/25/21;India;Thane;Industrials;Accel, Tiger Global Management, Nexus Venture Partners
Varo Bank;US$ 2,50;9/9/21;United States;San Francisco;Financial Services;Warburg Pincus, The Rise Fund, HarbourVest Partners
Cato Networks;US$ 3,00;11/17/20;Israel;Tel Aviv;Enterprise Tech;Aspect Ventures, SingTel Innov8, Greylock Partners
Sword Health;US$ 3,00;11/22/21;United States;New York;Healthcare & Life Sciences;Khosla Ventures, Green Innovations, Founders Fund
Aura;US$ 2,50;6/9/21;United States;Burlington;Consumer & Retail;Warburg Pincus, General Catalyst
TensTorrent;US$ 2,60;5/5/21;Canada;Toronto;Enterprise Tech;Eclipse Ventures, Fidelity Investments, Moore Capital Management
Sysdig;US$ 2,50;4/28/21;United States;San Francisco;Enterprise Tech;Accel, Bain Capital Ventures, Insight Partners
Uniphore;US$ 2,50;2/16/22;United States;Palo Alto;Enterprise Tech;Chiratae Ventures, March Capital Partners, National Grid Partners
Somatus;US$ 2,50;2/23/22;United States;McLean;Healthcare & Life Sciences;The Blue Venture Fund, Flare Capital Partners, Longitude Capital
Immutable;US$ 2,50;3/7/22;Australia;Sydney;Media & Entertainment;Fabric Ventures, AirTree Ventures, Temasek
SiFive;US$ 2,50;3/16/22;United States;San Mateo;Enterprise Tech;Sutter Hill Ventures, Osage University Partners, Spark Capital
Games24x7;US$ 2,50;3/30/22;India;Mumbai;Media & Entertainment;Tiger Global Management, The Raine Group, Malabar Investments
Fetch;US$ 2,50;3/31/21;United States;Madison;Consumer & Retail;Greycroft, Loeb.NYC, DST Global
DriveNets;US$ 2,50;1/27/21;Israel;Ra'anana;Enterprise Tech;Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners
Hibob;US$ 2,45;10/12/21;Israel;Tel Aviv;Enterprise Tech;Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures
Mobile Premier League;US$ 2,45;9/15/21;India;Bengaluru;Media & Entertainment;Sequoia Capital India, RTP Global, Go-Ventures
Fractal Analytics;US$ 2,44;1/5/22;India;Mumbai;Enterprise Tech;TPG Capital, Apax Partners, TA Associates
insitro;US$ 2,44;3/15/21;United States;South San Francisco;Healthcare & Life Sciences;Foresite Capital, ARCH Venture Partners, Third Rock Ventures
Cgtz;US$ 2,41;2/21/17;China;Hangzhou;Financial Services;Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund
Star Charge;US$ 2,41;5/19/21;China;Changzhou;Industrials;Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund
Carbon;US$ 2,40;8/20/15;United States;Redwood City;Industrials;Google Ventures, Sequoia Capital, Wakefield Group
Paxos;US$ 2,40;4/29/21;United States;New York;Financial Services;Liberty City Ventures, RRE Ventures, Mithril Capital Management
BitSight Technologies;US$ 2,40;9/13/21;United States;Boston;Enterprise Tech;Menlo Ventures, GGV Capital, Flybridge Capital Partners
Trumid;US$ 2,40;7/15/20;United States;New York;Financial Services;T. Rowe Price, Dragoneer Investment Group, BlackRock
ABL Space Systems;US$ 2,40;3/25/21;United States;El Segundo;Industrials;T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment
HoneyBook;US$ 2,40;5/4/21;United States;San Francisco;Enterprise Tech;Norwest Venture Partners, Hillsven Capital, Aleph
Beta Technologies;US$ 2,40;4/19/22;United States;South Burlington;Industrials;The Rise Fund, Fidelity Investments. RedBird Capital Partners
Project44;US$ 2,62;6/1/21;United States;Chicago;Enterprise Tech;Emergence Capital Partners, 8VC, Chicago Ventures
Freenome;US$ 2,62;8/26/20;United States;South San Francisco;Healthcare & Life Sciences;Andreessen Horowitz, Data Collective, Roche Venture Fund
ManyPets;US$ 2,35;6/1/21;United Kingdom;London;Insurance;Octopus Ventures, Munich Re Ventures, CommerzVentures
Job&Talent;US$ 1,46;12/1/21;Spain;Madrid;Enterprise Tech;Kibo Ventures, SoftBank Group, Atomico
WEMAKEPRICE;US$ 2,34;9/9/15;South Korea;Seoul;Consumer & Retail;IMM Investment, NXC
Biren Technology;US$ 2,32;8/18/20;China;Shanghai;Enterprise Tech;V FUND, IDG Capital, Green Pine Capital Partners
Transcarent;US$ 2,20;1/11/22;United States;San Francisco;Healthcare & Life Sciences;Alta Partners, General Catalyst, Jove Equity Partners
Aven;US$ 2,20;7/17/24;United States;San Fransisco;Financial Services;Khosla Ventures, General Catalyst, Founders Fund
Voodoo;US$ 2,31;8/17/20;France;Paris;Media & Entertainment;Tencent Holdings, Goldman Sachs
Kavak;US$ 2,20;10/1/20;Mexico;Lerma de Villada;Industrials;DST Global, SoftBank Group, Mountain Nazca
PhysicsWallah;US$ 2,80;6/7/22;India;Uttar Pradesh;Consumer & Retail;GSV Ventures, WestBridge Capital
Uptake;US$ 2,30;10/27/15;United States;Chicago;Industrials;Revolution, New Enterprise Associates, Caterpillar
Motive;US$ 2,85;4/23/19;United States;San Francisco;Industrials;Google Ventures, Index Ventures, Scale Venture Partners
Greenlight;US$ 2,30;9/24/20;United States;Atlanta;Financial Services;Relay Ventures, TTV Capital, Canapi Ventures
MoMo;US$ 2,27;12/10/21;Vietnam;Ho Chi Minh City;Financial Services;Goodwater Capital, Warburg Pincus, GS Growth
Story Protocol;US$ 2,25;8/21/24;United States;Bellevue;Media & Entertainment;A16z Crypto, Andreessen Horowitz, Two Small Fish Ventures
Algolia;US$ 2,25;7/28/21;United States;San Francisco;Enterprise Tech;Accel, Alven Capital, Storm Ventures
Newfront Insurance;US$ 2,20;4/12/22;United States;San Francisco;Insurance;Founders Fund, Meritech Capital Partners, GS Growth
EliseAI;US$ 2,20;8/14/24;United States;New York;Enterprise Tech;Navitas Capital, Point72 Ventures, JLL Spark
NuCom Group;US$ 2,20;2/22/18;Germany;Unterfoehring;Consumer & Retail;General Atlantic
Skydio;US$ 2,20;2/25/21;United States;Redwood City;Industrials;Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel
Uala;US$ 2,75;8/13/21;Argentina;Buenos Aires;Financial Services;Soros Fund Management, Ribbit Capital, Monashees+
Current;US$ 2,20;4/27/21;United States;New York;Financial Services;Expa, QED Investors, Foundation Capital
Bitso;US$ 2,20;5/5/21;Mexico;Mexico City;Financial Services;Pantera Capital, QED Investors, Coinbase Ventures
Gympass;US$ 2,40;6/12/19;United States;New York;Healthcare & Life Sciences;General Atlantic, SoftBank Group, Atomico
Dialpad;US$ 2,20;10/6/20;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Google Ventures, Section 32
G7 Networks;US$ 2,20;2/15/22;China;Beijing;Industrials;Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners
BloomReach;US$ 2,20;2/23/22;United States;Mountain View;Consumer & Retail;Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners
Accelerant;US$ 2,40;1/12/22;United Kingdom;Colchester;Insurance;Deer Park Road, Altamont Capital Partners, Eldridge
YITU Technology;US$ 2,17;3/8/18;China;Shanghai;Enterprise Tech;Sequoia Capital China, Banyan Capital
Inari;US$ 2,17;5/12/21;United States;Cambridge;Industrials;Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai
Qualia;US$ 2,17;12/21/20;United States;San Francisco;Financial Services;8VC, Menlo Ventures, Tiger Global Management
Supabase;US$ 2,00;4/22/25;United States;San Francisco;Enterprise Tech;Accel, Coatue, Craft Ventures
CHAOS Industries;US$ 2,00;4/30/25;United States;Los Angeles;Industrials;Accel, 8VC
Zeta;US$ 2,00;5/24/21;United States;San Francisco;Financial Services;Sodexo Ventures, SoftBank Group
Neo4j;US$ 2,00;6/17/21;United States;San Mateo;Enterprise Tech;Eight Roads Ventures, One Peak Partners, Creandum
CloudWalk;US$ 2,15;9/8/21;Brazil;Sao Paulo;Financial Services;Plug and Play Ventures, Valor Capital Group, DST Global
Baseten;US$ 2,15;9/25/25;United States;San Francisco;Enterprise Tech;Bond, Greylock Partners, Institutional Venture Partners
Xaira Therapeutics;US$ 2,15;4/23/24;United States;San Francisco;Healthcare & Life Sciences;ARCH Venture Partners, Foresite Capital, Two Sigma Ventures
CoinDCX;US$ 2,15;8/10/21;India;Maharashtra;Financial Services;Polychain Capital, Coinbase Ventures, Jump Capital
Eightfold;US$ 2,10;10/27/20;United States;Santa Clara;Enterprise Tech;Foundation Capital, Institutional Venture Partners, General Catalyst
ABLY;US$ 2,10;4/29/24;South Korea;Seoul;Consumer & Retail;LB Investment, KOLON INVESTMENT, Capstone Partners
Medable;US$ 2,10;10/26/21;United States;Palo Alto;Healthcare & Life Sciences;GSR Ventures, Sapphire Ventures, Streamlined Ventures
GoCardless;US$ 2,10;2/8/22;United Kingdom;London;Financial Services;Accel, Passion Capital, Balderton Capital
Aledade;US$ 3,50;1/19/21;United States;Bethesda;Healthcare & Life Sciences;Venrock, CVF Capital Partners, ARCH Venture Partners
A24 Films;US$ 3,50;3/9/22;United States;New York;Media & Entertainment;Stripes Group, Neuberger Berman
Forto;US$ 2,10;6/21/21;Germany;Berlin;Industrials;Cherry Ventures, Northzone Ventures, Global Founders Capital
bolttech;US$ 2,10;7/1/21;Singapore;;Insurance;Mundi Ventures, Doqling Capital Partners, Activant Capital
Synthesia;US$ 2,10;6/13/23;United Kingdom;London;Enterprise Tech;Google Ventures, Kleiner Perkins Caufield & Byers, FirstMark Capital
Jeeves;US$ 2,10;3/14/22;United States;Orlando;Enterprise Tech;Tencent Holdings, CRV, Clocktower Technology Ventures
Viva Wallet;US$ 2,05;12/17/22;Greece;Athens;Financial Services;Breyer Capital, Hedosophia
Framer;US$ 2,00;8/27/25;Netherlands;Amsterdam;Enterprise Tech;Atomico, Accel, Foundation Capital
Kin;US$ 2,00;9/13/23;United States;Chicago;Insurance;QED Investors, Commerce Ventures, Alpha Edison
FieldAI;US$ 2,00;8/20/25;United States;Mission Viejo;Enterprise Tech;Bezos Expeditions, Prysm Capital, Khosla Ventures
Kalshi;US$ 2,00;6/25/25;United States;New York;Enterprise Tech;Sequoia Capital
MUSINSA;US$ 2,00;11/11/19;South Korea;Seoul;Consumer & Retail;Sequoia Capital
